lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,all,all,2011,all,,,Western AK,NA,0.162,0.013,0.138,0.162,0.188,1.01,
Bering Sea,all,all,2011,all,,,E GOA/PNW,NA,0.378,0.014,0.351,0.378,0.405,1,
Bering Sea,all,all,2011,all,,,NE Asia,NA,0.184,0.013,0.158,0.184,0.21,1,
Bering Sea,all,all,2011,all,,,SE Asia,NA,0.173,0.011,0.153,0.173,0.194,1,
Bering Sea,all,all,2011,all,,,SW Alaska,NA,0.015,0.005,0.007,0.014,0.026,1.01,
Bering Sea,all,all,2011,all,,,Up/Mid Yukon,NA,0.089,0.01,0.07,0.089,0.108,1.02,
Bering Sea,all,all,2012,all,,,Western AK,NA,0.138,0.019,0.102,0.137,0.176,1,
Bering Sea,all,all,2012,all,,,E GOA/PNW,NA,0.176,0.017,0.143,0.176,0.211,1,
Bering Sea,all,all,2012,all,,,NE Asia,NA,0.389,0.024,0.344,0.389,0.436,1,
Bering Sea,all,all,2012,all,,,SE Asia,NA,0.203,0.017,0.171,0.203,0.237,1,
Bering Sea,all,all,2012,all,,,SW Alaska,NA,0.02,0.009,0.004,0.019,0.04,1.01,
Bering Sea,all,all,2012,all,,,Up/Mid Yukon,NA,0.074,0.014,0.048,0.073,0.104,1.01,
Bering Sea,all,all,2013,all,,,Western AK,NA,0.1809,0.0095,0.1626,0.1809,0.1996,1.01,weeks 24-29
Bering Sea,all,all,2013,all,,,E GOA/PNW,NA,0.1475,0.0065,0.1351,0.1474,0.1604,1,weeks 24-29
Bering Sea,all,all,2013,all,,,NE Asia,NA,0.4489,0.0101,0.4292,0.4489,0.4686,1,weeks 24-29
Bering Sea,all,all,2013,all,,,SE Asia,NA,0.1465,0.0063,0.1344,0.1464,0.1589,1,weeks 24-29
Bering Sea,all,all,2013,all,,,SW Alaska,NA,0.014,0.0029,0.0089,0.0138,0.0202,1,weeks 24-29
Bering Sea,all,all,2013,all,,,Up/Mid Yukon,NA,0.0622,0.0066,0.0496,0.0621,0.0754,1.02,weeks 24-29
Bering Sea,all,Early,2013,all,,,Western AK,NA,0.1775,0.0153,0.1484,0.1772,0.2083,1,weeks 35-43
Bering Sea,all,Early,2013,all,,,E GOA/PNW,NA,0.2495,0.0139,0.2228,0.2494,0.2772,1,weeks 35-43
Bering Sea,all,Early,2013,all,,,NE Asia,NA,0.2558,0.0163,0.2245,0.2556,0.2885,1,weeks 35-43
Bering Sea,all,Early,2013,all,,,SE Asia,NA,0.2205,0.0132,0.1954,0.2204,0.2466,1,weeks 35-43
Bering Sea,all,Early,2013,all,,,SW Alaska,NA,0.0319,0.0076,0.0181,0.0315,0.0478,1,weeks 35-43
Bering Sea,all,Early,2013,all,,,Up/Mid Yukon,NA,0.0648,0.01,0.0462,0.0644,0.0856,1,weeks 35-43
Bering Sea,all,Late,2013,all,,,Western AK,NA,0.1345,0.0139,0.1079,0.1343,0.1625,1,weeks 30-34
Bering Sea,all,Late,2013,all,,,E GOA/PNW,NA,0.0943,0.0103,0.075,0.0939,0.1154,1,weeks 30-34
Bering Sea,all,Late,2013,all,,,NE Asia,NA,0.5513,0.018,0.5161,0.5513,0.5862,1,weeks 30-34
Bering Sea,all,Late,2013,all,,,SE Asia,NA,0.149,0.0116,0.1273,0.1488,0.1725,1,weeks 30-34
Bering Sea,all,Late,2013,all,,,SW Alaska,NA,0.0062,0.0036,0.0009,0.0057,0.0147,1,weeks 30-34
Bering Sea,all,Late,2013,all,,,Up/Mid Yukon,NA,0.0646,0.0095,0.0473,0.0642,0.0844,1,weeks 30-34
Bering Sea,all,Middle,2013,all,,,Western AK,NA,0.235,0.0152,0.2051,0.2349,0.2651,1,"NMFS 513, 517, 519"
